Symbol,Close,A,B,C 
ACST,280,337.16,V,6.3
ADMG,228,264.58,X,6.5
AGRS,374,249.67,X,11.6
AISA,220,225.7,X,1.9
ALDO,650,65.99,X,-1.4
ASJT,242,265.78,V,0.7
BABP,530,368.82,V,10.1
BAJA,406,268.59,V,4.5
BBHI,3000,155.16,X,-0.4
BBKP,585,259.79,V,3.7
BBMD,1575,369.77,V,0.6
BBYB,1510,369.88,V,27.8
BGTG,322,369.78,V,22.2
BHIT,109,368.59,V,2.6
BKSW,312,369.69,V,8.7
BLUE,700,267.52,V,-0.7
BOGA,1360,337.29,V,1.1
BOLA,935,365.78,V,35.3
BRMS,108,169.32,V,-1.1
BULL,262,136.22,X,-2.1
BVIC,202,268.36,V,4.9
BYAN,14808,368.6,V,1.6
CEKA,1795,135.05,X,0.1
CENT,408,367.59,V,9.1
CSAP,515,369.59,V,2.9
DGIK,85,,V,3.2
DIVA,3980,353.91,V,2.5
DLTA,3800,237.06,X,-0.1
DNAR,292,368.48,V,6.5
DUCK,204,339.69,V,7.9
ENRG,126,168.17,V,-2
FPNI,288,368.31,V,3.3
FREN,151,355.56,V,6.4
HEXA,3490,66.36,X,-0.5
IHSG,6159,269.38,V,0.4
INPC,234,267.67,V,7.9
IRRA,2090,366.4,V,0
JAST,216,357.76,V,12.4
JSKY,154,136.04,X,-2.8
KEJU,1250,238.23,V,0.4
KOTA,184,339.74,X,4.8
KREN,158,353.04,V,4.2
LUCK,226,157.16,X,-1.3
MEGA,7925,122.63,V,0
MIDI,2000,268.31,V,1.8
NATO,555,367.37,V,1.3
NFCX,9200,355.76,V,10.8
PANI,214,266.72,X,12.1
PANS,1500,369.59,V,-1
PICO,130,224.26,X,-1
PNBS,151,165.95,V,-0.3
PNIN,770,225.16,X,-0.1
POLL,3860,339.79,V,19.2
PPRO,72,36.51,X,-1.8
RMBA,284,338.7,V,1
SMCB,1870,269.53,V,0.9
SOTS,535,64.46,X,2.7
TGRA,103,236.03,X,0.9
TNCA,635,369.79,V,10.5
TURI,1200,,V,0.4
UCID,1595,252.94,V,0.7
WSKT,900,225.63,X,0.2
